order_id,customer_id,order_date,order_amount,discount,order_status,customer_email
O000001,C00018,2026-06-25,4628.62,26.92,paid,user85@example.com
O000002,C00045,2026-06-26,1637.65,34.86,delivered,user78@example.com
O000003,C00189,2026-06-25,3276.98,23.25,delivered,user22@example.com
O000004,C00157,2026-06-28,3367.25,11.23,paid,user19@example.com
O000005,C00057,2026-06-26,1227.48,1605.45,pending,user179@example.com
O000006,C00185,2026-06-26,3341.21,49.39,delivered,user110@example.com
O000007,C00071,2026-06-27,3761.37,41.99,delivered,user183@example.com
O000008,C00107,2026-06-28,1921.35,7.64,shipped,user108@example.com
O000009,C00189,2026-06-25,1908.1,0.29,delivered,user155@example.com
O000010,C00152,2026-06-26,3623.67,42.03,已发货,user7@example.com
O000011,C00021,2026-06-27,1066.18,16.34,delivered,user192@example.com
O000012,C00122,2026-06-29,3773.62,47.48,paid,user145@example.com
O000013,C00097,2026-06-29,3891.18,8.19,shipped,user184@example.com
O000014,C00110,2026-06-27,4252.96,30.02,pending,user18@example.com
O000015,C00070,2026-06-27,3181.57,41.44,cancelled,user138@example.com
O000016,C00172,2026-06-28,4155.35,4.33,delivered,user8@example.com
O000017,C00105,2026-06-27,194806.31,35.06,pending,user195@example.com
O000018,C00089,2026-05-27,1115.77,34.59,delivered,user191@example.com
O000019,C00124,2026-06-28,1584.58,37.14,paid,user151@example.com
O000020,C00142,2026-06-28,1810.8,15.11,pending,user33@example.com
O000021,C00017,2026-06-26,2207.94,9.22,delivered,user19@example.com
O000022,C00134,2026-06-29,4969.65,5.92,cancelled,user114@example.com
O000023,C00142,2026-06-08,4738.48,10.39,paid,user1@example.com
O000024,C00051,2026-06-27,3517.91,22.7,cancelled,user140@example.com
O000025,C00180,2026-05-26,2979.27,41.21,delivered,user70@example.com
O000026,C00006,2026-06-27,3022.53,1.29,cancelled,user173@example.com
O000027,C00121,2026-06-26,4581.2,9.07,delivered,user86@example.com
O000028,C00198,not-a-date,4069.69,27.5,shipped,user132@example.com
O000029,C00034,2026-05-12,1815.28,37.82,paid,user113@example.com
O000030,C00031,2026-06-28,1560.64,0.68,pending,user40@example.com
O000031,C00035,2026-06-26,1226.22,27.56,cancelled,user71@example.com
O000032,C00115,2026-06-29,1421.37,14.93,delivered,user89@example.com
O000033,C00098,2026-06-28,2863.27,11.68,delivered,user170@example.com
O000034,C00105,2026-06-25,1666.65,5.02,unknown,user40@example.com
O000035,C00195,2026-06-29,4260.31,42.62,shipped,noatsign.com
O000036,C00077,2026-06-29,2175.52,4.92,delivered,user12@example.com
O000037,C00062,2026-06-26,2833.98,39.63,delivered,user150@example.com
O000038,C00077,2026-05-16,4507.04,33.88,shipped,user109@example.com
O000039,C00987,2026-06-29,1193.66,28.6,已发货,user200@example.com
O000040,C00174,2026-06-27,3880.95,11.51,paid,user197@example.com
O000041,C00107,2026-06-27,3945.17,1.67,shipped,user34@example.com
O000042,C00120,2026-06-28,1292.28,41.23,shipped,user37@example.com
O000043,C00164,2026-06-25,1835.22,2108.14,shipped,user28@example.com
O000044,C00030,2026-06-25,1114.62,3.16,shipped,user10@example.com
O000045,C00040,2026-06-26,1861.35,47.47,cancelled,user168@example.com
O000046,C00166,2026-05-22,1094.18,22.23,shipped,user102@example.com
O000047,C00053,2026-06-01,3212.11,3607.64,paid,user196@example.com
O000048,C00029,2026-06-25,24.15,42.92,shipped,user7@example.com
O000049,C00093,2026-05-29,271.47,37.09,delivered,user28@example.com
O000050,C00028,2026-06-25,1515.14,32.17,delivered,user114@example.com
O000051,C00111,2026-06-25,2746.3,16.26,delivered,user180@example.com
O000052,C00081,2026-06-26,2263.26,11.42,delivered,user171@example.com
O000053,C00144,2026-06-09,475.22,4.83,cancelled,user172@example.com
O000054,C00124,2026-06-29,4842.31,30.02,paid,user28@example.com
O000055,C00008,2026-06-26,4227.32,48.73,PROCESSING,user180@example.com
O000056,C00108,2026-06-26,357.23,37.05,cancelled,user41@example.com
O000057,C00125,2026-06-11,786.34,37.72,delivered,user107@example.com
O000058,C00053,2026-06-25,2438.3,33.36,cancelled,user55@example.com
O000059,C00190,2026-06-26,886.72,19.01,shipped,user5@example.com
O000060,C00177,2026-06-26,1454.68,20.25,cancelled,user23@example.com
O000061,C00050,2026-05-26,3731.57,11.08,pending,user90@example.com
O000062,C00161,2026-06-27,994.39,30.12,paid,user194@example.com
O000063,C00078,2026-06-25,1622.81,48.55,delivered,user152@example.com
O000064,C00149,2026-05-27,392.89,43.21,cancelled,user190@example.com
O000065,C00022,2026-06-26,2511.82,47.89,shipped,spaces in@addr.com
O000066,C00025,2026-06-27,1943.21,38.72,shipped,user99@example.com
O000067,C00182,2026-06-27,416.69,33.18,delivered,user80@example.com
O000068,C00197,2026-06-25,130887.3,33.52,paid,user58@example.com
O000069,C00097,2026-06-25,4177.25,44.18,cancelled,user47@example.com
O000070,C00062,2026-06-26,1827.85,35.98,delivered,user121@example.com
O000071,C00036,2026-06-27,3892.84,25.15,paid,user14@example.com
O000072,C00024,2026-06-29,1432.46,38.16,paid,user57@example.com
O000073,C00167,2026-06-27,1186.53,49.73,pending,user38@example.com
O000074,C00187,2026-06-26,2248.52,0.26,paid,user109@example.com
O000075,C00148,not-a-date,2291.0,5.54,pending,user37@example.com
O000076,C00100,2026-06-29,2622.19,18.03,cancelled,user12@example.com
O000077,C00091,2026-06-27,1213.22,32.86,shipped,user165@example.com
O000078,C00011,2026-06-28,324.87,38.81,pending,user80@example.com
O000079,C00095,2026-06-28,1437.69,43.11,shipped,user103@example.com
O000080,C00155,2026-06-26,1843.06,39.86,delivered,user47@example.com
O000081,C00112,2026-06-25,3591.14,8.33,shipped,user15@example.com
O000082,C00166,2026-06-29,722.47,30.38,pending,user99@example.com
O000083,C00030,2026-06-26,3817.79,28.7,shipped,user48@example.com
O000084,C00019,2026-06-26,1080.71,30.59,paid,user183@example.com
O000085,C00180,2026-06-27,3550.61,27.5,paid,user93@example.com
O000086,C00023,2026-06-29,1810.87,28.61,paid,user102@example.com
O000087,C00200,2026-06-29,635.38,15.85,cancelled,user151@example.com
O000088,C00133,2026-06-07,2595.33,15.21,paid,user21@example.com
O000089,C00185,2026-06-25,476.21,32.05,paid,user87@example.com
O000090,C00128,2026-05-04,3857.4,13.23,cancelled,user140@example.com
O000091,C00156,2026-06-27,2273.19,34.43,delivered,user184@example.com
O000092,C00013,2026-06-25,2812.64,15.96,paid,user99@example.com
O000093,C00079,2026-06-25,3608.43,9.49,delivered,user24@example.com
O000094,C00028,2026-06-29,1413.97,29.88,shipped,user68@example.com
O000095,C00160,2026-06-28,1818.99,14.43,cancelled,user31@example.com
O000096,C00183,2026-06-27,3777.28,9.95,pending,user122@example.com
O000097,C00131,2026-06-27,820.89,49.53,shipped,user182@example.com
,C00068,2026-06-29,4899.69,29.19,pending,user199@example.com
O000099,C00029,2026-06-25,3875.28,19.01,cancelled,user113@example.com
O000100,C00170,2026-06-26,4365.36,36.79,paid,user97@example.com
O000101,C00077,2026-06-27,3054.28,9.61,paid,user181@example.com
O000102,C00198,2026-06-27,1446.07,28.67,delivered,noatsign.com
O000103,C00151,2026-06-28,4141.48,13.56,pending,user13@example.com
O000104,C00122,2026-06-26,511.72,791.39,delivered,user52@example.com
O000105,C00046,2026-06-25,1168.78,36.93,paid,user10@example.com
O000106,C00165,2026-06-27,4384.95,0.46,shipped,user127@example.com
O000107,C00146,2026-06-27,820.85,22.95,shipped,user50@example.com
O000108,C00061,2026-06-29,2010.16,4.77,已发货,user69@example.com
O000109,C00181,2026-06-28,320.0,5.91,cancelled,user177@example.com
O000110,C00194,2026-06-28,2396.13,22.75,cancelled,user171@example.com
O000111,C00130,2026-06-25,2239.27,35.19,pending,user138@example.com
O000112,C00117,2026-06-25,2449.25,44.94,paid,user144@example.com
O000113,C00018,2026-06-28,2895.77,2.26,pending,spaces in@addr.com
O000114,C00175,2026-06-26,1878.56,44.57,delivered,user139@example.com
O000115,C00098,2026-06-28,3642.01,3663.15,cancelled,user64@example.com
O000116,C00018,2026-06-29,4049.3,20.96,pending,user9@example.com
O000117,C00060,2026-05-17,1179.35,10.86,cancelled,user188@example.com
O000118,C00189,2026-06-28,4928.62,26.06,cancelled,user161@example.com
O000119,C00138,2026-06-26,3931.16,15.94,delivered,user58@example.com
O000120,C00095,2026-06-26,2790.86,6.7,pending,user186@example.com
O000121,C00086,2026-06-10,948.93,38.08,delivered,user4@example.com
O000122,C00098,2026-06-28,3481.18,35.19,shipped,user167@example.com
O000123,C00057,2026-05-15,3810.53,16.01,pending,user5@example.com
O000124,C00126,2026-06-27,1157.79,28.49,shipped,user165@example.com
O000125,C00020,2026-06-25,2446.7,45.84,pending,noatsign.com
O000126,C00169,2026-06-29,1101.41,22.8,cancelled,user2@example.com
,C00025,2026-06-25,4887.62,0.86,paid,user62@example.com
O000128,C00021,2026-06-27,4796.9,22.95,shipped,user167@example.com
